headline_id,source,headline_text,category,published_date,cleaned_text,sentiment_score,sentiment_label
219,TechCrunch,Cloud computing adoption accelerates across industries.,Technology,2024-10-05,cloud computing adoption accelerates across industries,0.0,Neutral
220,Reuters,Market volatility rises after unexpected inflation data.,Business,2024-10-06,market volatility rises unexpected inflation data,0.05,Neutral
221,BBC,E-commerce sees record sales during holiday season.,Finance,2024-10-07,ecommerce sees record sales holiday season,0.20095,Positive
222,TechCrunch,Innovative startups disrupt traditional retail ecosystems.,Business,2024-10-08,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
223,Reuters,Cloud computing adoption accelerates across industries.,Business,2024-10-09,cloud computing adoption accelerates across industries,0.0,Neutral
224,BBC,Tech giants see surge in stock prices amid AI boom.,Markets,2024-10-10,tech giants see surge stock prices amid boom,0.0,Neutral
225,BBC,Consumer confidence grows as GDP expands in Q3.,Markets,2024-10-11,consumer confidence grows gdp expands,0.28595,Positive
226,Bloomberg,Market volatility rises after unexpected inflation data.,Policy,2024-10-12,market volatility rises unexpected inflation data,0.05,Neutral
227,TechCrunch,Cloud computing adoption accelerates across industries.,Business,2024-10-13,cloud computing adoption accelerates across industries,0.0,Neutral
228,BBC,Central banks signal interest rate adjustments next quarter.,Markets,2024-10-14,central banks signal interest rate adjustments next quarter,0.2294,Positive
229,Reuters,Energy sector rebounds as oil prices stabilize.,Technology,2024-10-15,energy sector rebounds oil prices stabilize,0.1366,Positive
230,Reuters,Market volatility rises after unexpected inflation data.,Business,2024-10-16,market volatility rises unexpected inflation data,0.05,Neutral
231,Reuters,Market volatility rises after unexpected inflation data.,Technology,2024-10-17,market volatility rises unexpected inflation data,0.05,Neutral
232,Bloomberg,Consumer confidence grows as GDP expands in Q3.,Policy,2024-10-18,consumer confidence grows gdp expands,0.28595,Positive
233,TechCrunch,E-commerce sees record sales during holiday season.,Finance,2024-10-19,ecommerce sees record sales holiday season,0.20095,Positive
234,Forbes,E-commerce sees record sales during holiday season.,Policy,2024-10-20,ecommerce sees record sales holiday season,0.20095,Positive
235,BBC,Tech giants see surge in stock prices amid AI boom.,Finance,2024-10-21,tech giants see surge stock prices amid boom,0.0,Neutral
236,Forbes,Market volatility rises after unexpected inflation data.,Markets,2024-10-22,market volatility rises unexpected inflation data,0.05,Neutral
237,Reuters,E-commerce sees record sales during holiday season.,Markets,2024-10-23,ecommerce sees record sales holiday season,0.20095,Positive
238,Bloomberg,Market volatility rises after unexpected inflation data.,Technology,2024-10-24,market volatility rises unexpected inflation data,0.05,Neutral
239,Reuters,Tech giants see surge in stock prices amid AI boom.,Finance,2024-10-25,tech giants see surge stock prices amid boom,0.0,Neutral
240,Forbes,Market volatility rises after unexpected inflation data.,Finance,2024-10-26,market volatility rises unexpected inflation data,0.05,Neutral
241,TechCrunch,Central banks signal interest rate adjustments next quarter.,Business,2024-10-27,central banks signal interest rate adjustments next quarter,0.2294,Positive
242,Reuters,Consumer confidence grows as GDP expands in Q3.,Business,2024-10-28,consumer confidence grows gdp expands,0.28595,Positive
243,BBC,Consumer confidence grows as GDP expands in Q3.,Policy,2024-10-29,consumer confidence grows gdp expands,0.28595,Positive
244,TechCrunch,Major brand unveils sustainability roadmap for 2030.,Technology,2024-10-30,major brand unveils sustainability roadmap,0.03125,Neutral
245,Bloomberg,Energy sector rebounds as oil prices stabilize.,Finance,2024-10-31,energy sector rebounds oil prices stabilize,0.1366,Positive
246,BBC,Central banks signal interest rate adjustments next quarter.,Business,2024-11-01,central banks signal interest rate adjustments next quarter,0.2294,Positive
247,Bloomberg,E-commerce sees record sales during holiday season.,Business,2024-11-02,ecommerce sees record sales holiday season,0.20095,Positive
248,BBC,Innovative startups disrupt traditional retail ecosystems.,Markets,2024-11-03,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
249,Bloomberg,Tech giants see surge in stock prices amid AI boom.,Technology,2024-11-04,tech giants see surge stock prices amid boom,0.0,Neutral
250,TechCrunch,Innovative startups disrupt traditional retail ecosystems.,Technology,2024-11-05,innovative startups disrupt traditional retail ecosystems,0.3452,Positive
